시도,위도,경도
서울,37.56638,126.977902
부산,35.179672,129.075577
대구,35.871269,128.601734
인천,37.455791,126.705401
광주,35.160015,126.851329
대전,36.349637,127.383316
울산,35.538756,129.311327
세종,36.480862,127.290757
경기,37.263201,127.028574
강원,37.881671,127.732695
충북,36.641669,127.488753
충남,36.815116,127.113745
전북,35.82408,127.147958
전남,34.81089,126.391914
경북,36.019013,129.343626
경남,35.227597,128.682366
제주,33.495155,126.53747
